id,shape,price,carat,cut,color,clarity,report,type
10086429,10,400,0.3,3,1,1,1,1
10016334,3,400,0.31,4,2,2,1,1
9947216,3,400,0.3,4,2,3,1,1
10083437,10,400,0.3,4,2,1,1,1
9946136,3,400,0.3,4,2,2,1,1
10070154,3,410,0.31,4,6,1,1,1
10086507,10,410,0.3,4,1,1,1,1
10083288,10,410,0.3,3,1,1,1,1
10090935,5,410,0.3,4,1,3,1,1
9943628,3,410,0.31,4,2,6,1,1
10055476,10,410,0.3,4,1,2,1,1
10086105,10,410,0.3,3,1,1,1,1
10082791,10,410,0.3,3,2,1,1,1
10084879,10,410,0.3,3,1,1,1,1
10087558,10,410,0.3,3,1,1,1,1
9998192,3,410,0.3,4,2,3,1,1
10083170,10,410,0.3,3,1,2,1,1
10084818,10,410,0.3,3,1,1,1,1
10048801,3,410,0.3,4,6,1,1,1
10018558,3,410,0.3,3,1,4,1,1
10087239,10,410,0.3,3,5,1,1,1
9926525,8,420,0.3,4,4,1,1,1
10085677,10,420,0.33,5,1,1,1,1
10078896,10,420,0.3,3,2,1,1,1
9926562,7,420,0.3,4,2,2,1,1
10084000,10,420,0.3,3,1,1,1,1
10083255,10,420,0.38,3,1,2,1,1
9968964,3,420,0.3,4,1,4,1,1
10086394,10,420,0.3,5,2,1,1,1
9943656,3,420,0.3,4,2,2,1,1
10085531,10,420,0.3,3,1,1,1,1
10085242,10,420,0.33,3,2,1,1,1
10017664,8,420,0.32,4,1,1,1,1
10018977,7,420,0.3,4,2,2,1,1
9997898,5,420,0.3,2,5,2,1,1
10083855,10,420,0.3,3,1,2,1,1
10085658,10,420,0.3,4,2,2,1,1
9946103,3,420,0.3,4,5,1,1,1
10088017,3,420,0.33,4,1,2,1,1
9944355,3,420,0.3,3,4,2,1,1
9944542,3,420,0.3,5,1,4,1,1
9946958,3,420,0.3,4,5,1,1,1
9947491,3,420,0.3,4,5,1,1,1
10084951,10,420,0.3,3,1,2,1,1
9967595,3,420,0.3,4,1,3,1,1
9946002,3,430,0.3,4,3,2,1,1
10010529,3,430,0.3,4,5,1,1,1
10083303,10,430,0.31,5,2,2,1,1
10086230,10,430,0.3,3,2,2,1,1
10082181,10,430,0.3,5,2,1,1,1
10082715,10,430,0.3,4,4,1,1,1
